Name,Limit,Link
Toyota Wish 1.8A PARF,9000,https://www.sgcarmart.com/used_cars/listing.php?ORD=DEP_ASC&ASL=1&MOD=toyota%20wish%201.8a&RPG=20&DP2=10&DP1=1&AVL=2&PR2=&PR1=0&FR=2012
Toyota Prius Alpha Hybrid 1.8A S PARF,9500,https://www.sgcarmart.com/used_cars/listing.php?MOD=toyota+wish+1.8a&ASL=1&PR1=1&PR2=20&DP1=1&DP2=6&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Toyota Prius Hybrid 1.8A PARF,8500,https://www.sgcarmart.com/used_cars/listing.php?ORD=DEP_ASC&ASL=1&MOD=toyota%20prius%20alpha%20hybrid%201.8A%20S&RPG=20&DP2=10&DP1=1&AVL=2&PR2=&PR1=0&FR=2015
Toyota Wish 1.8A COE car (10 years),4500,https://www.sgcarmart.com/used_cars/listing.php?ORD=DEP_ASC&ASL=1&MOD=toyota%20wish%201.8a&RPG=20&DP2=&DP1=0&AVL=2&PR2=&PR1=20&FR=2008&TO=2010
Toyota Vios 1.5A E COE car (10 years),4000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Toyota+Vios+1.5A+E&ASL=1&PR1=20&PR2=&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Toyota Corolla Altis 1.6A COE car (10 years),4000,https://www.sgcarmart.com/used_cars/listing.php?ORD=DEP_ASC&ASL=1&MOD=Toyota%20Corolla%20Altis%201.6A&RPG=20&DP2=5&DP1=1&AVL=2&PR2=&PR1=20&FR=2008&TO=2010
Honda Stream 1.8A COE car (10 years),4000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Honda+Stream+1.8A&ASL=1&PR1=20&PR2=&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Toyota Corolla Axio 1.5A COE car (10 years),4000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Toyota+Corolla+Axio+1.5A&ASL=1&PR1=20&PR2=&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Honda Jazz 1.3A / 1.5A COE car (10 years),4000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Honda+Jazz&ASL=1&PR1=20&PR2=&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Honda Fit 1.3A COE car (10 years),4000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Honda+Fit&ASL=1&PR1=20&PR2=&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Mitsubishi Lancer Ex 1.5A COE car (10 years),4000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Mitsubishi+Lancer&ASL=1&PR1=20&PR2=&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Honda Airwave 1.5A COE car (10 years),4000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Honda+Airwave&ASL=1&PR1=20&PR2=&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Honda City 1.5A COE car (10 years),4000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Honda+City&ASL=1&PR1=20&PR2=&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Toyota Wish 1.8A COE car (5 years),5500,https://www.sgcarmart.com/used_cars/listing.php?MOD=toyota+wish+1.8a&ASL=1&PR1=1&PR2=20&DP1=1&DP2=6&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Toyota Vios 1.5A E COE car (5 years),5000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Toyota+Vios+1.5A+E&ASL=1&PR1=1&PR2=20&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Toyota Corolla Altis 1.6A COE car (5 years),5000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Toyota+Corolla+Altis+1.6A&ASL=1&PR1=0&PR2=20&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Honda Stream 1.8A COE car (5 years),5000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Honda+Stream+1.8A&ASL=1&PR1=0&PR2=20&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Toyota Corolla Axio 1.5A COE car (5 years),5000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Toyota+Corolla+Axio+1.5A&ASL=1&PR1=0&PR2=20&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Honda Jazz 1.3A / 1.5A COE car (5 years),5000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Honda+Jazz&ASL=1&PR1=0&PR2=20&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Honda Fit 1.3A COE car (5 years),5000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Honda+Fit&ASL=1&PR1=1&PR2=20&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Mitsubishi Lancer Ex 1.5A COE car (5 years),5000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Mitsubishi+Lancer&ASL=1&PR1=0&PR2=20&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Honda Airwave 1.5A COE car (5 years),5000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Honda+Airwave&ASL=1&PR1=1&PR2=20&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
Honda City 1.5A COE car (5 years),5000,https://www.sgcarmart.com/used_cars/listing.php?MOD=Honda+City&ASL=1&PR1=0&PR2=20&DP1=1&DP2=5&FR=2008&TO=2010&ENG=&FUE=&MIL_C=&OMV_C=&TRN=&OWN_C=&DL=&LOC=&AVL=2
